"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.134611602E0,3.162790080E1,-9.714918850E1,1.249757898E2,9.890000153E1,0.000000000E0,0.000000000E0,9.977472686E-3,1.402900028E1,1.000000000E0,0.000000000E0
1.606718750E0,3.162789061E1,-9.714929320E1,1.390272736E2,1.129513550E2,2.700000107E-1,1.758000031E2,1.553454688E-2,6.368279934E0,1.008215141E1,0.000000000E0
2.605468698E0,3.162785689E1,-9.714924988E1,1.357906695E2,1.097148438E2,0.000000000E0,0.000000000E0,1.653072552E-2,4.630571365E0,7.175112247E0,1.700000000E1
3.606093646E0,3.162786570E1,-9.714925179E1,1.355487378E2,1.094729004E2,0.000000000E0,0.000000000E0,1.711702809E-2,4.113780499E0,5.897212982E0,1.900000000E1
4.605467499E0,3.162786585E1,-9.714925798E1,1.351053258E2,1.090294800E2,0.000000000E0,0.000000000E0,1.880923072E-2,3.925670624E0,5.318410397E0,1.900000000E1
5.605620728E0,3.162785439E1,-9.714924622E1,1.341649296E2,1.080891113E2,0.000000000E0,0.000000000E0,1.931326223E-2,3.790092468E0,4.742166996E0,1.900000000E1
6.605777290E0,3.162785231E1,-9.714924149E1,1.351389812E2,1.090631714E2,0.000000000E0,0.000000000E0,1.966614907E-2,3.790092468E0,4.180354595E0,1.900000000E1
7.605992863E0,3.162785535E1,-9.714924256E1,1.367352992E2,1.106594849E2,0.000000000E0,0.000000000E0,1.992910489E-2,3.790092468E0,4.217525005E0,1.900000000E1
8.606320987E0,3.162785350E1,-9.714924083E1,1.380532271E2,1.119774170E2,0.000000000E0,0.000000000E0,2.041541696E-2,3.790092468E0,4.024330139E0,1.900000000E1
9.606181404E0,3.162784937E1,-9.714923914E1,1.378753031E2,1.117994995E2,0.000000000E0,0.000000000E0,2.062411808E-2,3.790092468E0,3.788296223E0,1.900000000E1
1.060548984E1,3.162784892E1,-9.714923700E1,1.369780219E2,1.109022217E2,0.000000000E0,0.000000000E0,2.074740006E-2,3.790092468E0,3.543395519E0,1.900000000E1
1.160574010E1,3.162784840E1,-9.714923815E1,1.368785356E2,1.108027344E2,0.000000000E0,0.000000000E0,2.092485138E-2,3.790092468E0,3.375937700E0,2.000000000E1
1.260611890E1,3.162784939E1,-9.714923962E1,1.369218736E2,1.108460693E2,0.000000000E0,0.000000000E0,2.099159365E-2,3.790092468E0,3.309080362E0,2.000000000E1
